,Resume,Category
523,education  bca vinayaka mission university operation manager operation manager   operation management exprience le  months   bny mellon international operation india pvt ltd  organization bny mellon international operation india pvt ltd sept till date bny mellon provides broad range product service area investment management investment service treasury service customer institutions corporations high net worth individuals well consultant advisor work line business lob revenue billing service r b revenue billing service global center excellence generates invoice collect fee revenue investment service client staff across five location brooklyn pittsburgh syracuse pune uk various business supported asset servicing corporate trust treasury services broker dealer service global collateral management support us emea apac region job profile operation manager bny mellon international operation india pvt ltd responsible daily operation billing department providing service institutional client globally led team professional responsible accurate timely account setup invoice production billing platform like advantage fiserv firre sungard tasked improving service quality reducing overall unbilled revenue provide guidance staff professional development plan facilitating appropriate coaching feedback responsibility include limited audit business resumption planning evaluating emerging technologies fee contract review negotiation vendors human resources hiring performance management employee personal development reward recognition programs defining strategic direction business unit operation service delivery management monitor client kyc compliance monitoring institutional client manage support train team drafting reviewing standard operating procedure ensure compliance u global regulation billing assist client contract review negotiation monitor analyze draft metric report weekly monthly basis track progress compliance effort senior management coordinate internal stake holder draft response escalated enquiry client request participate risk control self assessment rcsa concurrence meeting lob form first line defense operation take accountability operational risk event ore perform root cause analysis issue document accordingly incident reporting ensure service delivery standard always met green sla tat monitor employee productivity efficiency performance management initiate goal setting exercise operation team lob provide direction employee according established policy management guidance consistently meet onshore offshore stake holder provide real time update organize meeting functional peer group discus monthly mi actively involved hiring resource management level within department oversee employee assistance program eap underperforming employee end end performance management staff semiannual annual appraisal established training development one top priority goal department secured senior management funding cut new hire job competency three month two introducing e learning module brainshark presentation encourage team understand communicate  vision competitive strategy driving business plan win play win initiate quarterly risk control self assessment rcsa concurrence review process stake holder  management transition management pmo worked  manager bny mellon pmo manage transition billing operation responsibility included limited understanding expectations technology documentation assessing capacity set executing transition plan process timelines slas escalation matrix etc ensuring smooth go live regular review meeting post transition conducted analysis  determine roi viability  undertaking presenting senior operation director conceptualized implemented strategy capturing  program metric funneling information easy understand dashboard direct management oversight team employees direct report work directly information technology architecture team identify strategic  breakdown within program ensure complete adherence  management toll gate framework ensure user operation team get required application access determined lesson learned post  review integrated finding program plan talent management team function structured organization design differentiate roles develop career paths easy work rotation performed  gap analysis identify training development opportunity ensured participation also tracked effectiveness training program developed implemented function wide reward recognition r r program previous job profile bny mellon overall tenure assistant manager team leader line business lob global corporate trust billing enterprise billing unit alternate investment service ai  broker dealer service bd sub custodian fee billing trustee service provided eg admin services paying agent services registrar bny mellon corporate trust client billed invoiced generating revenue worked capacity assistant manager team leader overall tenure managing multiple team different sub function within billing department responsibility included assign daily work team respective mailbox ensure equal distribution sub activity among team depending volume ensure timely completion monitor log spreadsheet activity sub activity saved designated shared drive quality check transaction processed work efficiency  monitor onshore rm email respond within day getting actioned attend daily handoff call discus processed work update onshore counterpart work efficiency six sigma quality  conduct monthly one one team member schedule team meeting mentoring new old hire team discus process update regularly managing performance appraisal employee team actively involved hiring process participate internal external audit attend concurrence meeting risk control self assessment rcsa work   wipro technology  client microsoft wipro ltd indian information technology service corporation leading global information technology consulting business process service  job profile worked application support engineer tier ii provided technical support siebel crm user across globe microsoft corp communicated user obtain understanding environment challenge troubleshoot issue provide solution utilized existing structure translate ticket category group name system structure identified escalated issue tieriii production support team required ensure addressed resolved ensured siebel crm user site running utilizing proactive monitoring tools increased customer time trained new engineer providing proactive support user compiled data department metric report management examination process mi reporting coordinated development team business user system deployment modification actively participated stb qtp testing application version release perform periodic application health check tested implemented supported database replication including sql server replication type editing environment perform role flip server backend reduce application downtime maintained consistent eta month month help desk ticket within hour time span ensured knowledge base article repository updated regularly enable new engineer go troubleshooting issue work   dell global financial service  dell computer corporation aug th till feb dell inc one world leading computer system  dell designs build customizes product service satisfy range customer requirement server storage professional service need largest global corporations customer home across country world dell business directly customer meet unique need job profile worked account receivables senior associate dell inc handling portfolio u corporate customer handling team senior credit controller walking floor coaching guiding controller minimizing credit loss managing team collect delinquent account handling escalation email phone identify late stage delinquent account resolve appropriate verbal written correspondence notice performing ledger account review discussing interim annual appraisal team member ensure closure stipulated time research resolve problem transaction identified daily basis maintain record concerning change account result negotiation collection customer outstanding accounts refunds tax credits etc release order credit task code assigned queue intervening communicating supporting department sales order processing etc delayed response mentor new hire assist team member improving performance required setting leading conference call customer internal department discus issue account deriving measure resolve taking team hurdle driving team result attending weekly monthly review call management discus process related issue way improvise work real time case made potential order error situation specific customer requirement met make decision resolve issue expeditious manner make recommendation business rule addition designed capture commonly occurring order error keep motivation level high among team member organizing fun work activity also nominated hr transport spoc coe work  ge capital international service gecis ge capital financial service unit american multinational conglomerate general electric provides commercial lending leasing well range financial service commercial aviation energy support ge industrial business unit   made outbound call sent email informing institutional client delinquent payment per standard operating procedure developed one point lesson key customer shared team maintained accuracy rate throughout  generate daily report team performance included way mean improvement coe revenue gained credibility among team member first level escalation issue absence manager single point contact spoc hr issue team,Operations Manager
948,good logical analytical  positive attitude towards solving problem accepting challenge team player leader good organizer presonal  dob marital status singleeducation  july june electrical pune maharashtra sinhagad institute technology january diploma msbte kopargaon maharashtra kbppolytechnic january ssc sgvidyalaya state board testing engineer electrical engineer      intelux electronics pvt ltd  power management system testing department,Testing
181,education  bca bachelor computer application pune maharashtra pune university hsc pune maharashtra pune university ssc pune maharashtra pune university web designing developer php developer exposys pvt ltd      exposys pvt ltd  technical  web development html  cs  bootstrap php ajax jquery javascript database mysql development tool notepad  sublime text framework codeigniter server apache tomcat xampp control panel operating system window  exposys pvt ltd  pune augest till date    pragat bharat system technology used html css bootstrap php jquery ajax database used sql team size position software developer synopsis  aim specially design people used collect information diifernt sector  ii go ayur system technology used html css bootstrap php jquery ajax database used sql team size position software developer synopsis go ayurveda panchakarma center one traditionally well established professional innovative provider classical ayurvedic health service kerala panchakarma therapy  iii vitsanindia system technology used html css bootstrap php jquery ajax java script database used sql team size position software developer synopsis online shooping app app user friendly option change language user find different category product choice  iv mahabaleshwartours technology used html css bootstrap php jquery ajax java script database used sql team size position software developer synopsis system provide online registration tour package information ticket booking online payment searching facility customer also generate different type report  v cityspaceindia technology used html css bootstrap php jquery ajax java script database used sql team size position software developer synopsis service provider website provide different category  vi fruitsbuddy technology used html css bootstrap php jquery ajax java script database used sql team size position software developer synopsis fruitbuddy manage  fruits customer order transaction payment manages information fruits stocks payment  totally built administrative end thus administrator guaranteed access purpose  build application program reduce manual work managing fruits customer stocks order  vii totalcitee technology used html css bootstrap php jquery ajax java script database used sql team size position software developer synopsis real estate web application created helping sell property web based user interface visitor website view particular desired product using search engine facility  viii golchha technology used html css bootstrap php jquery ajax java script database used sql team size position software developer synopsis service provider website provide different category,Web Designing
291,personal  good verbal written communication  ability deal people diplomatically willingness learn qualification seema institute ansalon body massage scalp swedish thai body foot reflexology aromatherapy completed course month talwalkars fitness academy gym aerobics completed month course fitness training radio bhavan career super market hotel front office management completed course month slender gender done diploma spa management month education  fitness trainer cum team leader fitness trainer cum team leader think healthy      think healthy  job responsibility perform related duty responsibility assigned achieve fitness goal training people work out gym handling customer query related therapies refreshers etc  raymond gym  job responsibility perform related duty responsibility assigned handling customer query related therapy  aroma thai foot spa  perform related duty responsibility assigned handling customer query related therapies refreshers etc handled query phone well personally taking care payment invoice  global gym  job responsibility perform related duty responsibility assigned handling team entire floor section achieve fitness goal training people work out gym  rudraaksh health care spa  job responsibility perform related duty responsibility assigned handling team entire floor section achieve fitness goal training people work out gym handling customer query related therapies refreshers etc handled query phone well personally taking care payment invoice  plaza gym   hotel windsor   hotel holiday inn juhu  done promotion aromathai foot spa day world trade centre bombay exhibition centre also done promotion bandra kurla complex bandra gym khana promoted various product spa health fitness product garments imitation jewellery food beverage etc,Health and fitness
426,education  february february tybcom commerce mumbai business analyst business analyst      motilal oswal  business analyst handling operation institutional equity maintain daily mi excel cag research derivative sale team preparing auto dashboard research sales trading team working excel macro create innovative report working block related data working bd fund different geo working investor corporate meeting track corporate block fund interest sector  f    maintain prepare cash indent cash report cash position cash planning responsibility maintain daily mi excel provide complete information mi atm maintain prepare cash indent cash report cash position cash planning co ordinate bank cash department co ordinate custodian degree course  passing grade institute university board percentage  angel broking  reporting assistant manager sr manger responsibility handling team quality assurance team member maintain daily mi excel team productivity maintain prepare repots adding comment remark mailing client modification given number mailing report different branch coordinating rm provide complete information script client,Business Analyst
20, programming language python pandas numpy scipy scikit learn matplotlib  sql java javascript jquery machine learning regression svm na bayes knn random forest decision trees boosting techniques cluster analysis word embedding sentiment analysis natural language processing dimensionality reduction topic modelling lda nmf  pca neural net database visualization mysql sqlserver cassandra hbase elasticsearch js dcjs plotly kibana matplotlib ggplot tableau others regular expression html css angular  logstash kafka python flask git docker computer vision open cv understanding deep learningeducation  data science assurance associate data science assurance associate ernst young llp   javascript exprience month jquery exprience month python exprience months   ernst young llp  fraud investigation dispute service assurance technology assisted review tar technology assisted review assist accelerating review process run analytics generate report core member team helped developing automated review platform tool scratch assisting e discovery domain tool implement predictive coding topic modelling automating reviews resulting reduced labor cost time spent lawyer review understand end end flow solution research development classification models predictive analysis mining information present text data worked analyzing output precision monitoring entire tool tar assist predictive coding topic modelling evidence following ey standard developed classifier model order identify red flag fraud related issue tool technology python scikit learn tfidf word vec doc vec cosine similarity na bayes lda nmf topic modelling vader text blob sentiment analysis matplot lib tableau dashboard reporting multiple data science analytic  usa client text analytics motor vehicle customer review data received customer feedback survey data past one  performed sentiment positive negative neutral time series analysis customer comment across category created heat map term survey category based frequency word extracted positive negative word across survey category plotted word cloud created customized tableau dashboard effective reporting visualization chatbot developed user friendly chatbot one product handle simple question hour operation reservation option chat bot serf entire product related question giving overview tool via qa platform also give recommendation response user question build chain relevant answer intelligence build pipeline question per user requirement asks relevant recommended question tool technology python natural language processing nltk spacy topic modelling sentiment analysis word embedding scikit learn javascript jquery sqlserver information governance organization make informed decision information store integrated information governance portfolio synthesizes intelligence across unstructured data source facilitates action ensure organization best positioned counter information risk scan data multiple source format parse different file formats extract meta data information push result indexing elastic search created customized interactive dashboard using kibana preforming rot analysis data give information data help identify content either redundant outdated trivial preforming full text search analysis elastic search predefined method tag pii personally identifiable information social security numbers addresses names etc frequently targeted cyber attack tool technology python flask elastic search kibana fraud analytic platform fraud analytics investigative platform review red flag case fap fraud analytics investigative platform inbuilt case manager suite analytics various erp system used client interrogate accounting system identifying anomaly indicator fraud running advanced analytics tool technology html javascript sqlserver jquery css bootstrap nodejs js dcjs,Data Science
471, agile methodology scrum kanban extreme programming xp  test driven development tdd feature driven development fdd domain industrial automation retail banking insurance health care automation framework modular data driven bpt hybrid test automation tool hp uft taf load runner selenium rational robot dcmtk sikuli language vb script c  python shell script bug tracking tool bugzilla jira hp quality control ap test clear quest version management clear case win cvs svn database oracle sql server mysql network protocol tcp ip vpn ftp ldap healthcare dicom pacs hl  image archiving image reconstruction rockwell automation logix designer factory talk rslinx classic control flash compare tool module profile education  bachelor science computer science mumbai maharashtra mumbai university qa automation lead qa automation lead   c exprience month python exprience month uft exprience month selenium exprience month sql exprience months   leading industrial automation  responsibility test rockwell automation embedded system logix designer factory talk rslinx classic control flash compare tool module profile coordinate onsite offshore qa lead design develop test strategy test plan document test plan test case base product requirement document functional specification discussed explained requirement qa team work scrum base agile methodology test driven development environment frequent changing requirement lot challenge document published program increment objectives program increment planning report feature epics backlog story conduct participated program increment planning backlog grooming sprint planning daily stand ups sprint review retrospective perform automation testing task design create maintain execute peer review test script using test automation framework taf develop execute system integration gui integration test using c interact business analyst software developer bug review participated qa meeting work closely development engineering department ensure proper resolution bug proactively came innovative method improve software quality test coverage efficiency regression coverage created maintained testing document high level requirement test strategy report test plan test cases test execution results bug report quality metrics traceability matrix testing summary report environment logix designer factory talk rslinx classic controlflash comparetool modules profiles test automation framework taf  c  python selenium clear case clear quest uft collaborative lifecycle management version one  ge healthcare  responsibility validated ge ct scanner based fda compliance regulation interacted clinical experts business analyst development architect creation test strategy test plan coordinated offshore qa onsite qa team work design develop test strategy requirement traceability matrix designed created executed manual test case base product requirement document increased productivity initiating use automation tool like dicom qtp trained guided ge team automation test creation execution using qtp performed testing type functional integration performance regression provide test report management involved release support test bed creation testing throughout release process environment agile test driven development tdd  dicom hl  image reconstruction windows linux sql c python qtp html xml qtp vbscripts qc  patni ge healthcare pac  responsibility validated ge pac application tested web application defined administration authentication archiving dicom image involved creation automation framework using hybrid bpt approach responsible creation test bed golden data using dcmtk prepared test scenarios test plan test case automation script integration system end end testing application designed developed user defined generic function well versed vb scripting descriptive programming scripting dynamic object reusable action defining scenario flow uft qtp reviewed qtp script developed team member supported qa sit regression testing team environmental issue interact downstream environment system team clarification environment agile test driven development tdd  ge pacs dicom hl  image reconstruction image construction windows linux sql c python selenium qtp html xml qtp javascript vbscripts qc  hdfc bank limited  responsibility reviewed business requirements design document prepared test case assigned  release performed testing type api functional integration system performance regression security network provide test report management involved integration testing release new functionality testing critical bug fix co ordinate developer fixing critical bug involved backend database testing oracle microsoft sql involved release support test bed setup testing throughout release process automation test flow using automated tool qtp environment windows linux sql c python qtp html xml qtp javascript vbscripts qc  vistaar system limited  responsibility referred business requirement documents use case document design document provided client developer creation manual automation test case involved analysis design creation execution debugging automation script using automation tool like rational robot qtp shell scripting testing critical bug fix co ordinate developer fixing critical bug involved installation build maintaining test bed smoke sanitary testing regression testing performance testing database testing using rational robot qtp shell scripting environment windows linux sql rational robot v qtp v,Automation Testing
188,education  june june mechanical engineering pune maharashtra savitribai phule pune university mechanical design engineer mechanical design engineer   microsoft office autocad catia solidworks exprience months   push engineering pvt ltd  currently working mechanical design engineer push engineering pvt ltd type ice making plant designed manufactured  design includes design pressure vessel condenser conveyor help modelling software also bom preparation materialerp system  central water power research station  pune govt india   research assistant r department mechanical workshop central water power research station khadakwasla pune govt india  different  generation sea wave laboratory useful design port harbor structure mumbai chennai goa foreign country like japan bangladesh etc wave generated wave maker come mechanical workshop wave generated help hydraulic well pneumatic system also regular wave generator  sea wave generation hydraulic system  design hydraulic system includes design servo actuator axial piston pump electric motor supervision guidance scientist b cwprs software  autocad catia v m office proe extra curricular activity organize national level technical event mechanical student association mesa coordinator mesa treasurer attending printing workshop college work readiness training conducted nasscom foundation global talent track college life  training conducted nasscom foundation global talent track college personal atributes positive attitude quick learner team leader,Mechanical Engineer
853, strong c fundamental problem solving ethereum smart contracts solidity  golang node angular react culturally fit startup environment mongodb postgresql mysql enthusiastic learn new technology aws docker microservices blockchain protocol consensuseducation  january mtech computer engineering jaipur rajasthan malaviya national institute technology jaipur january computer science engg kolhapur maharashtra shivaji university blockchain engineer blockchain engineer xinfin orgnization   mongodb exprience month contract exprience month mysql exprience month aws exprience month problem solving exprience months   xinfin orgnization  xinfin global open source hybrid blockchain protocol rolled multiple blockchain based pilot  different use case various client eg tradefinex supply chain management  land registry govt mh  infactor invoice factoring build secure scalable hosted wallet based erc standard xinfin network working production level blockchain use case technology ethereum blockchain solidity smart contracts dapps nodejs  oro wealth  orowealth zero commision online investment platform currently focused direct mutual fund build various scalable web based product b b b c based mean stack technology integrated multiple finance application entity eg integration kyc mf entity technology nodejs angularjs mongodb express  yallaspree  hyderabad telangana yallaspree largest digital shopping directory uae k store responsibility develop maintain following module admin vendor interface database operation writing webservices complete notification system event offer page technology cakephp php framework  jquery mysql  railtiffincom  mumbai maharashtra railtiffincom e commerce platform serve food railway passenger worked multiple role like bug fixing db operations feature customisation writing api endpoint technology opencart ecommerce framework  jquery mysql  accolite software india private limited  bengaluru ka accolite global service  headquartered dallas usa office india worked birst analytics tool develop deploy maintain report,Blockchain
738,software  rdbms m sql server  operating system window xp  window server  fundamental m office tool ssms performance monitor sql profiler sql lite speed  name barclays technology centre india team size role database administrator support  barclays technology uk based retail invest bank  old bank operation country employ approximately  people barclays organised four core business personal corporate personal banking corporate banking wealth investment management  barclaycard investment banking responsibility attending various call world various database issue working web gui alert resolving incident ticket within time line troubleshoooting log shipping issue fixing related alert identifying resolving blocking locking related issue configuration monitoring replication log shipping mirroring setup working replication issue always issue granting revoking permission various account provisioning task working call support weekend performing dr test working weekly maintenance job weekend change request education  bsc math kakatiya university board secured sql server database administrator database administrator   database exprience month database administrator exprience month maintenance exprience month m sql server exprience month replication exprience months   barclays global service centre  sql server database implementation maintenance log shipping replication high availability clustering performance tuning database mirroring installation configuration upgradation migration  wipro infotech pvt ltd  sql server database administrator  citi bank  worked database support accord fintech sanpada sep feb   sound knowledge database backup restore attach detach disaster recovery procedure developed backup recovery strategy production environment ensuring data consistency database dbcc dmv command  query tuning stored procedure troubleshooting performance issue hand  dr process including log shipping database mirroring  scheduling monitoring job  configure troubleshooting always creating maintaining maintenance plan expertise planning implementing m sql server security database permission clear understanding implementation log shipping replication mirroring database server performance tuning performance monitor sql profiler query analyzer security server database implementing security creating role users added user roles assigning right role create maintaining linked server sql instance create maintaining database mail monitor troubleshoot database issue creating dts package executing required task expert create indexes maintaining index rebuilds reorganizes daily maintenance sql server included reviewing sql error logs event viewer,Database
